Date,Time,Symbol,Side,Quantity,Price,Commission
2023-05-22,09:22:00,GRPN,B,595,4.2650,0
2023-05-22,09:49:00,GRPN,S,297,4.4356,0
2023-05-22,09:49:00,GRPN,S,298,4.4424,0
2023-05-22,09:50:00,PARR,S,115,21.5550,0
2023-05-22,15:00:00,PARR,B,115,21.4750,0
2023-05-22,09:52:00,GPRE,B,78,31.7500,0
2023-05-22,15:00:00,GPRE,S,78,32.3600,0
2023-05-22,10:11:00,RPAY,B,363,6.8850,0
2023-05-22,15:00:00,RPAY,S,363,6.8000,0
2023-05-22,13:09:00,NKTX,S,556,4.4850,0
2023-05-22,15:00:00,NKTX,B,556,4.4000,0
2023-05-23,08:41:00,PLTR,B,200,12.5350,0
2023-05-23,10:10:00,PLTR,S,100,13.0364,0
2023-05-23,10:10:00,PLTR,S,100,13.2896,0
2023-05-24,09:29:00,GPRE,S,79,31.3100,0
2023-05-24,10:19:00,GPRE,B,79,31.9000,0
2023-05-24,09:30:00,GRPN,S,591,4.2150,0
2023-05-24,12:45:00,GRPN,B,591,4.3550,0
2023-05-24,09:32:00,BMEA,B,80,31.3900,0
2023-05-24,14:02:00,BMEA,S,40,32.6456,0
2023-05-24,14:02:00,BMEA,S,40,32.6061,0
2023-05-24,09:31:00,RPAY,S,384,6.4750,0
2023-05-24,15:00:00,RPAY,B,384,6.6200,0
2023-05-24,09:38:00,MXL,S,91,27.4050,0
2023-05-24,15:00:00,MXL,B,91,27.4000,0
2023-05-24,10:29:00,PARR,S,116,21.3500,0
2023-05-24,15:00:00,PARR,B,116,21.1100,0
2023-05-24,13:58:00,SPIR,S,3461,0.7157,0
2023-05-24,15:00:00,SPIR,B,3461,0.7145,0
2023-05-24,14:21:00,NNBR,B,1461,1.7150,0
2023-05-24,15:00:00,NNBR,S,1461,1.7300,0
2023-05-24,14:28:00,EVTL,B,1322,1.9100,0
2023-05-24,15:00:00,EVTL,S,1322,1.9100,0
2023-05-24,14:59:00,NKTX,B,555,4.5300,0
2023-05-24,15:00:00,NKTX,S,555,4.5400,0
2023-05-25,08:49:00,INTC,S,91,27.4600,0
2023-05-25,15:00:00,INTC,B,91,27.4050,0
2023-05-25,08:53:00,T,S,162,15.4300,0
2023-05-25,15:00:00,T,B,162,15.1450,0
2023-05-25,10:13:00,NVDA,B,6,387.2300,0
2023-05-25,15:00:00,NVDA,S,6,379.5700,0
2023-05-26,08:44:00,PLTR,B,187,13.3000,0
2023-05-26,09:23:00,PLTR,S,93,13.8320,0
2023-05-26,09:23:00,PLTR,S,94,13.7520,0
2023-05-26,08:46:00,MRVL,B,40,61.3300,0
2023-05-26,12:01:00,MRVL,S,20,63.7832,0
2023-05-26,12:01:00,MRVL,S,20,63.3620,0
2023-05-26,13:18:00,MRVL,B,38,64.5150,0
2023-05-26,15:00:00,MRVL,S,38,65.6600,0
2023-05-30,09:19:00,GRPN,S,471,5.1500,0
2023-05-30,10:25:00,GRPN,B,235,4.9440,0
2023-05-30,10:25:00,GRPN,B,236,4.9565,0
2023-05-30,10:51:00,PARR,S,117,21.2100,0
2023-05-30,11:17:00,PARR,B,117,21.3050,0
2023-05-30,09:24:00,MXL,S,84,29.5100,0
2023-05-30,15:00:00,MXL,B,84,29.5750,0
2023-05-30,09:29:00,GPRE,S,83,29.7000,0
2023-05-30,15:00:00,GPRE,B,83,29.5850,0
2023-05-30,09:34:00,RPAY,S,395,6.3000,0
2023-05-30,15:00:00,RPAY,B,395,6.2550,0
2023-05-30,13:34:00,BMEA,B,75,33.2000,0
2023-05-30,15:00:00,BMEA,S,75,33.9200,0
2023-05-30,13:59:00,NN,B,954,2.6200,0
2023-05-30,15:00:00,NN,S,954,2.5800,0
2023-05-30,14:32:00,CAR,B,15,163.6200,0
2023-05-30,15:00:00,CAR,S,15,163.4100,0
2023-05-30,14:59:00,SPIR,B,3387,0.7379,0
2023-05-30,15:00:00,SPIR,S,3387,0.7305,0
2023-05-31,10:29:00,ELDN,B,930,2.0100,0
2023-05-31,11:07:00,ELDN,S,465,2.0904,0
2023-05-31,11:07:00,ELDN,S,465,2.1249,0
2023-05-31,09:28:00,RPAY,S,415,6.0150,0
2023-05-31,14:50:00,RPAY,B,415,6.3200,0
2023-05-31,09:26:00,GPRE,S,86,28.8600,0
2023-05-31,14:50:00,GPRE,B,86,29.0550,0
2023-05-31,09:33:00,IMAX,S,145,17.0650,0
2023-05-31,14:57:00,IMAX,B,145,17.3300,0
2023-05-31,08:44:00,CAR,S,14,167.5300,0
2023-05-31,15:00:00,CAR,B,14,167.7200,0
